Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default
4107,Rent,1515440.0,10+ years,1.0,16.0,18.1,671462.0,1.0,50.0,0.0,debt consolidation,Short Term,329010.0,418114.0,24247.0,735.0,0
4108,Home Mortgage,,10+ years,0.0,8.0,21.5,1296372.0,0.0,,0.0,other,Short Term,354508.0,389633.0,18656.0,,0
4109,Rent,787626.0,8 years,0.0,7.0,23.9,152460.0,1.0,36.0,1.0,debt consolidation,Short Term,229086.0,71231.0,6544.0,715.0,0
4110,Rent,934705.0,1 year,0.0,7.0,11.6,355212.0,0.0,,0.0,business loan,Short Term,346324.0,11970.0,280.0,690.0,0
4111,Own Home,,10+ years,0.0,7.0,18.3,744260.0,0.0,,0.0,debt consolidation,Long Term,451792.0,599070.0,20128.0,,1
4112,Rent,,5 years,0.0,3.0,10.4,248600.0,0.0,,0.0,other,Long Term,259204.0,36708.0,12368.0,,0
4113,Home Mortgage,,5 years,0.0,9.0,10.5,313192.0,0.0,10.0,0.0,debt consolidation,Short Term,391688.0,147155.0,3138.0,,0
4114,Home Mortgage,1000654.0,10+ years,0.0,5.0,22.7,227546.0,0.0,,0.0,debt consolidation,Short Term,75108.0,187093.0,19096.0,700.0,0
4115,Rent,587708.0,< 1 year,0.0,7.0,15.9,335676.0,0.0,61.0,0.0,debt consolidation,Short Term,233244.0,242953.0,13174.0,719.0,0
4116,Rent,,2 years,0.0,10.0,15.9,778426.0,0.0,,0.0,debt consolidation,Short Term,253154.0,326059.0,22586.0,,0
4117,Home Mortgage,,10+ years,0.0,6.0,15.3,305294.0,0.0,,0.0,debt consolidation,Long Term,208230.0,230717.0,14217.0,,0
4118,Home Mortgage,,2 years,0.0,14.0,13.2,583264.0,0.0,18.0,0.0,home improvements,Short Term,231440.0,356136.0,15037.0,,0
4119,Home Mortgage,959557.0,2 years,0.0,10.0,14.2,0.0,0.0,,0.0,debt consolidation,Long Term,221672.0,0.0,7213.0,739.0,0
4120,Rent,2209263.0,7 years,0.0,13.0,19.4,324764.0,0.0,10.0,0.0,debt consolidation,Short Term,133474.0,150613.0,15520.0,732.0,0
4121,Rent,870903.0,5 years,0.0,8.0,15.7,334004.0,0.0,28.0,0.0,debt consolidation,Long Term,201674.0,167314.0,6096.0,734.0,1
4122,Home Mortgage,3297412.0,< 1 year,4.0,13.0,35.3,320474.0,4.0,37.0,0.0,other,Long Term,763620.0,100472.0,31875.0,647.0,0
4123,Home Mortgage,1452227.0,6 years,0.0,10.0,12.8,416900.0,0.0,,0.0,debt consolidation,Long Term,538076.0,256006.0,30497.0,6600.0,1
4124,Rent,999039.0,10+ years,0.0,11.0,14.6,547910.0,0.0,,0.0,debt consolidation,Long Term,531476.0,317034.0,6935.0,709.0,1
4125,Rent,575453.0,10+ years,0.0,9.0,10.5,193380.0,0.0,,0.0,debt consolidation,Long Term,219230.0,98534.0,9591.0,697.0,1
4126,Rent,1467769.0,1 year,0.0,8.0,16.5,577632.0,0.0,5.0,0.0,debt consolidation,Long Term,348612.0,345724.0,32413.0,708.0,1
4127,Home Mortgage,2781885.0,10+ years,0.0,20.0,27.3,846758.0,0.0,3.0,0.0,debt consolidation,Long Term,751608.0,610622.0,60506.0,646.0,1
4128,Rent,,4 years,0.0,5.0,7.3,121638.0,0.0,,0.0,buy a car,Short Term,121792.0,35416.0,1442.0,,1
4129,Home Mortgage,1458345.0,10+ years,0.0,19.0,34.0,1713866.0,0.0,,0.0,debt consolidation,Long Term,290994.0,399646.0,13672.0,737.0,1
4130,Rent,,4 years,0.0,10.0,24.8,541112.0,0.0,65.0,0.0,debt consolidation,Short Term,167728.0,180386.0,27116.0,,0
4131,Rent,1097098.0,2 years,0.0,11.0,13.0,370854.0,0.0,,0.0,debt consolidation,Long Term,99999999.0,191843.0,17371.0,731.0,0
4132,Rent,1826242.0,2 years,0.0,18.0,22.4,1027884.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,412794.0,42460.0,739.0,0
4133,Rent,817988.0,10+ years,0.0,11.0,18.5,125466.0,1.0,72.0,1.0,debt consolidation,Short Term,110132.0,53086.0,11656.0,698.0,1
4134,Home Mortgage,1292855.0,10+ years,0.0,6.0,32.0,171952.0,0.0,35.0,0.0,debt consolidation,Short Term,312796.0,115843.0,16915.0,730.0,0
4135,Home Mortgage,1043442.0,10+ years,0.0,13.0,23.7,467324.0,1.0,71.0,1.0,debt consolidation,Long Term,434060.0,103721.0,4252.0,680.0,0
4136,Home Mortgage,,10+ years,0.0,6.0,23.2,465102.0,0.0,20.0,0.0,debt consolidation,Short Term,258346.0,308883.0,10908.0,,0
4137,Home Mortgage,,10+ years,0.0,16.0,33.7,364782.0,1.0,,1.0,other,Short Term,87384.0,203205.0,17814.0,,0
4138,Rent,2061367.0,2 years,0.0,11.0,18.9,292556.0,0.0,29.0,0.0,debt consolidation,Short Term,130196.0,76304.0,8795.0,745.0,0
4139,Home Mortgage,1122273.0,10+ years,0.0,5.0,23.0,418110.0,0.0,12.0,0.0,debt consolidation,Long Term,553080.0,186333.0,14683.0,715.0,1
4140,Home Mortgage,795853.0,< 1 year,0.0,6.0,19.1,405922.0,0.0,51.0,0.0,debt consolidation,Long Term,99999999.0,307439.0,10611.0,688.0,0
4141,Home Mortgage,792718.0,10+ years,0.0,11.0,14.5,241868.0,0.0,22.0,0.0,debt consolidation,Short Term,140382.0,153520.0,23650.0,731.0,0
4142,Home Mortgage,2692338.0,10+ years,0.0,11.0,27.8,929236.0,0.0,48.0,0.0,debt consolidation,Short Term,614702.0,211071.0,26475.0,746.0,0
4143,Home Mortgage,1326675.0,10+ years,0.0,13.0,17.6,803044.0,0.0,,0.0,debt consolidation,Long Term,285296.0,516686.0,36262.0,689.0,0
4144,Home Mortgage,,5 years,0.0,9.0,17.6,187242.0,0.0,51.0,0.0,other,Short Term,184888.0,74385.0,12618.0,,0
4145,Home Mortgage,1197874.0,,0.0,9.0,17.3,619564.0,0.0,21.0,0.0,debt consolidation,Short Term,445984.0,250420.0,21062.0,733.0,0
4146,Home Mortgage,1400357.0,< 1 year,0.0,10.0,20.0,242022.0,0.0,24.0,0.0,debt consolidation,Short Term,127556.0,132943.0,31391.0,719.0,0
4147,Home Mortgage,1390382.0,10+ years,0.0,12.0,10.6,307120.0,0.0,21.0,0.0,debt consolidation,Short Term,171732.0,162868.0,20971.0,7220.0,1
4148,Own Home,673056.0,10+ years,0.0,17.0,19.5,674410.0,0.0,8.0,0.0,debt consolidation,Short Term,267190.0,217835.0,16433.0,7370.0,1
4149,Home Mortgage,1222156.0,8 years,0.0,17.0,12.5,814946.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,289978.0,23628.0,745.0,0
4150,Home Mortgage,2597756.0,3 years,0.0,8.0,22.1,131098.0,0.0,5.0,0.0,debt consolidation,Long Term,386738.0,101213.0,46760.0,628.0,0
4151,Home Mortgage,,1 year,0.0,22.0,12.6,182622.0,0.0,70.0,0.0,other,Short Term,246620.0,72865.0,16545.0,,0
4152,Home Mortgage,2314200.0,10+ years,0.0,21.0,28.2,5747632.0,0.0,3.0,0.0,debt consolidation,Short Term,781550.0,828970.0,13326.0,745.0,0
4153,Home Mortgage,938505.0,1 year,0.0,13.0,16.8,76076.0,0.0,17.0,0.0,debt consolidation,Long Term,312972.0,58995.0,21273.0,669.0,0
4154,Rent,563160.0,4 years,0.0,5.0,11.7,471064.0,0.0,,0.0,other,Short Term,260832.0,109022.0,6852.0,740.0,0
4155,Home Mortgage,970425.0,10+ years,0.0,13.0,28.4,785752.0,0.0,36.0,0.0,debt consolidation,Short Term,99999999.0,311486.0,19732.0,737.0,0
4156,Home Mortgage,1711482.0,8 years,0.0,6.0,21.4,599478.0,0.0,,0.0,debt consolidation,Long Term,99999999.0,464417.0,14105.0,674.0,0
4157,Rent,,2 years,0.0,6.0,11.0,232606.0,0.0,45.0,0.0,debt consolidation,Short Term,75350.0,111283.0,5434.0,,0
4158,Home Mortgage,,6 years,0.0,18.0,23.4,982102.0,0.0,28.0,0.0,debt consolidation,Short Term,175032.0,514843.0,23453.0,,0
4159,Rent,555636.0,10+ years,0.0,10.0,10.3,286286.0,0.0,,0.0,debt consolidation,Short Term,216304.0,208430.0,8288.0,730.0,1
4160,Home Mortgage,2320850.0,10+ years,0.0,9.0,23.4,828322.0,0.0,28.0,0.0,business loan,Long Term,99999999.0,235353.0,21990.0,739.0,0
4161,Home Mortgage,,10+ years,0.0,13.0,20.5,899910.0,0.0,,0.0,debt consolidation,Long Term,382910.0,185744.0,9833.0,,0
4162,Home Mortgage,,1 year,0.0,8.0,11.9,575124.0,0.0,,0.0,debt consolidation,Short Term,648846.0,176833.0,4829.0,,0
4163,Home Mortgage,,4 years,0.0,11.0,17.9,834438.0,0.0,53.0,0.0,debt consolidation,Long Term,347094.0,101612.0,10106.0,,0
4164,Rent,,3 years,0.0,7.0,13.0,90156.0,1.0,,1.0,debt consolidation,Short Term,102718.0,55423.0,21806.0,,0
4165,Rent,1254513.0,10+ years,0.0,6.0,23.4,0.0,0.0,60.0,0.0,take a trip,Short Term,99999999.0,0.0,0.0,748.0,0
4166,Rent,1098162.0,4 years,0.0,16.0,15.4,341330.0,1.0,68.0,1.0,debt consolidation,Long Term,407132.0,168321.0,12629.0,682.0,1
4167,Rent,750880.0,2 years,0.0,7.0,11.3,212938.0,0.0,27.0,0.0,debt consolidation,Short Term,182578.0,127091.0,20399.0,717.0,0
4168,Home Mortgage,1235874.0,8 years,0.0,15.0,11.3,970002.0,1.0,,1.0,debt consolidation,Short Term,440308.0,363565.0,27601.0,725.0,0
4169,Home Mortgage,890397.0,4 years,0.0,9.0,17.0,512886.0,0.0,59.0,0.0,debt consolidation,Short Term,360162.0,316255.0,20256.0,747.0,1
4170,Home Mortgage,870010.0,10+ years,0.0,16.0,16.5,634238.0,0.0,,0.0,debt consolidation,Short Term,224862.0,350569.0,16168.0,721.0,0
4171,Rent,824410.0,10+ years,0.0,12.0,46.3,1847912.0,0.0,,0.0,buy a car,Short Term,77330.0,638362.0,19442.0,750.0,0
4172,Own Home,471485.0,,0.0,14.0,17.7,517352.0,1.0,,1.0,debt consolidation,Short Term,152856.0,234574.0,6876.0,728.0,0
4173,Rent,679003.0,1 year,0.0,8.0,9.0,204754.0,0.0,,0.0,debt consolidation,Short Term,215446.0,143070.0,14768.0,730.0,0
4174,Rent,1240567.0,7 years,0.0,5.0,9.9,288618.0,0.0,,0.0,debt consolidation,Long Term,99999999.0,236797.0,4828.0,629.0,0
4175,Home Mortgage,570057.0,1 year,0.0,4.0,12.3,57134.0,0.0,58.0,0.0,other,Short Term,99999999.0,17271.0,11420.0,731.0,0
4176,Rent,1475293.0,10+ years,0.0,9.0,15.0,1033670.0,0.0,,0.0,debt consolidation,Long Term,648846.0,376732.0,23604.0,660.0,1
4177,Rent,,7 years,0.0,3.0,14.9,305558.0,0.0,,0.0,debt consolidation,Short Term,436480.0,234080.0,8913.0,,0
4178,Home Mortgage,,3 years,0.0,12.0,19.5,1113222.0,0.0,,0.0,debt consolidation,Short Term,239712.0,460522.0,31165.0,,0
4179,Rent,,1 year,0.0,11.0,13.8,794266.0,0.0,37.0,0.0,debt consolidation,Short Term,430584.0,450661.0,11079.0,,1
4180,Rent,2007464.0,8 years,0.0,10.0,16.8,419650.0,0.0,,0.0,debt consolidation,Long Term,99999999.0,92416.0,23922.0,734.0,0
4181,Rent,577296.0,< 1 year,0.0,9.0,12.5,104676.0,1.0,,1.0,debt consolidation,Short Term,100276.0,54511.0,9525.0,704.0,0
4182,Rent,990603.0,5 years,0.0,10.0,17.0,613294.0,1.0,61.0,1.0,debt consolidation,Short Term,306922.0,172672.0,19399.0,731.0,0
4183,Rent,1406190.0,10+ years,0.0,10.0,17.3,1919302.0,0.0,,0.0,debt consolidation,Long Term,651288.0,1437122.0,37498.0,679.0,0
4184,Rent,,5 years,0.0,9.0,15.1,250448.0,1.0,,1.0,other,Short Term,112376.0,16663.0,20497.0,,0
4185,Rent,965960.0,9 years,0.0,12.0,14.7,278190.0,0.0,8.0,0.0,debt consolidation,Short Term,258104.0,169385.0,20205.0,740.0,1
4186,Home Mortgage,,6 years,0.0,8.0,14.4,4023690.0,0.0,,0.0,debt consolidation,Short Term,624184.0,809666.0,15705.0,,0
4187,Rent,675659.0,3 years,0.0,6.0,8.1,176022.0,0.0,,0.0,debt consolidation,Short Term,91278.0,116907.0,3153.0,736.0,0
4188,Home Mortgage,865868.0,5 years,0.0,11.0,11.5,541574.0,0.0,,0.0,debt consolidation,Short Term,155958.0,124412.0,6436.0,744.0,0
4189,Home Mortgage,,1 year,0.0,12.0,16.0,407440.0,1.0,,1.0,debt consolidation,Long Term,642048.0,168549.0,29930.0,,1
4190,Home Mortgage,,< 1 year,0.0,8.0,21.8,257664.0,0.0,19.0,0.0,debt consolidation,Short Term,262064.0,108813.0,11757.0,,0
4191,Home Mortgage,3009201.0,6 years,0.0,10.0,20.8,773322.0,0.0,118.0,0.0,debt consolidation,Short Term,449592.0,299877.0,15297.0,738.0,0
4192,Home Mortgage,1783321.0,10+ years,0.0,12.0,31.5,673508.0,0.0,4.0,0.0,debt consolidation,Short Term,430188.0,391457.0,24372.0,738.0,0
4193,Rent,1271423.0,< 1 year,0.0,7.0,20.7,823152.0,0.0,,0.0,debt consolidation,Long Term,334598.0,601426.0,25005.0,722.0,1
4194,Home Mortgage,748904.0,,0.0,6.0,23.9,353474.0,0.0,,0.0,debt consolidation,Short Term,173426.0,157206.0,9361.0,747.0,0
4195,Home Mortgage,2627510.0,10+ years,0.0,25.0,20.5,2448534.0,0.0,,0.0,debt consolidation,Long Term,99999999.0,957942.0,41821.0,726.0,0
4196,Rent,1211250.0,10+ years,0.0,5.0,27.9,416592.0,0.0,57.0,0.0,debt consolidation,Short Term,328724.0,332785.0,10599.0,742.0,0
4197,Rent,607544.0,4 years,0.0,9.0,7.3,301334.0,0.0,,0.0,debt consolidation,Short Term,134002.0,172026.0,10936.0,716.0,0
4198,Home Mortgage,1908550.0,< 1 year,0.0,20.0,32.5,811646.0,1.0,,1.0,home improvements,Short Term,119328.0,621775.0,22744.0,729.0,0
4199,Rent,855266.0,10+ years,0.0,11.0,22.4,332266.0,0.0,81.0,0.0,debt consolidation,Short Term,308088.0,220647.0,12686.0,721.0,1
4200,Rent,1975050.0,3 years,0.0,18.0,12.0,959926.0,0.0,80.0,0.0,debt consolidation,Short Term,283140.0,270256.0,28474.0,751.0,0
4201,Home Mortgage,,9 years,0.0,14.0,24.5,870518.0,0.0,,0.0,debt consolidation,Short Term,219098.0,381919.0,16368.0,,0
4202,Home Mortgage,844664.0,10+ years,0.0,9.0,22.6,230010.0,2.0,,2.0,debt consolidation,Short Term,56518.0,60990.0,16330.0,707.0,0
4203,Home Mortgage,591261.0,10+ years,0.0,12.0,32.0,330792.0,2.0,58.0,2.0,debt consolidation,Short Term,172876.0,142557.0,12022.0,6820.0,1
4204,Rent,1308929.0,5 years,0.0,11.0,14.8,401038.0,0.0,61.0,0.0,debt consolidation,Short Term,178310.0,231344.0,20288.0,716.0,0
4205,Home Mortgage,1591592.0,2 years,0.0,30.0,23.0,1231824.0,0.0,19.0,0.0,home improvements,Short Term,216810.0,230850.0,41646.0,705.0,0
4206,Rent,395333.0,3 years,0.0,5.0,13.3,574794.0,0.0,,0.0,debt consolidation,Short Term,108988.0,114171.0,2975.0,748.0,0
4207,Rent,741836.0,2 years,0.0,8.0,11.2,150326.0,0.0,24.0,0.0,debt consolidation,Short Term,206162.0,97755.0,3215.0,725.0,0
4208,Home Mortgage,1208324.0,10+ years,0.0,11.0,15.1,359480.0,0.0,,0.0,debt consolidation,Long Term,309958.0,306432.0,34941.0,701.0,0
4209,Own Home,836532.0,1 year,0.0,18.0,8.0,344344.0,0.0,16.0,0.0,other,Short Term,154968.0,168036.0,11223.0,718.0,0
4210,Home Mortgage,1002364.0,5 years,0.0,11.0,18.0,683232.0,0.0,18.0,0.0,debt consolidation,Long Term,554290.0,364648.0,24976.0,723.0,0
4211,Home Mortgage,781964.0,2 years,0.0,4.0,9.6,132484.0,0.0,,0.0,debt consolidation,Long Term,221936.0,105944.0,14532.0,687.0,0
4212,Home Mortgage,1057293.0,6 years,0.0,12.0,9.0,222838.0,0.0,,0.0,buy a car,Short Term,251416.0,138377.0,13480.0,720.0,1
4213,Rent,,< 1 year,0.0,13.0,13.9,761596.0,0.0,,0.0,debt consolidation,Short Term,332486.0,169689.0,15639.0,,0
4214,Home Mortgage,749816.0,< 1 year,0.0,17.0,24.7,772024.0,1.0,,1.0,debt consolidation,Long Term,339482.0,424042.0,11385.0,674.0,0
4215,Rent,1240567.0,< 1 year,0.0,4.0,11.8,97284.0,0.0,,0.0,debt consolidation,Long Term,99999999.0,78736.0,19642.0,709.0,0
4216,Own Home,1223277.0,3 years,0.0,24.0,20.9,1464452.0,0.0,,0.0,home improvements,Short Term,53526.0,218804.0,11825.0,736.0,0
4217,Home Mortgage,,10+ years,0.0,5.0,18.3,601788.0,0.0,26.0,0.0,debt consolidation,Long Term,539066.0,314431.0,10108.0,,0
4218,Rent,1112412.0,1 year,0.0,9.0,8.0,197560.0,0.0,,0.0,debt consolidation,Short Term,188914.0,114323.0,12422.0,731.0,0
4219,Own Home,971660.0,1 year,0.0,8.0,19.1,301400.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,249375.0,15465.0,733.0,0
4220,Rent,1852690.0,10+ years,0.0,7.0,16.1,267960.0,0.0,14.0,0.0,debt consolidation,Short Term,386144.0,160151.0,23622.0,740.0,1
4221,Home Mortgage,,4 years,0.0,12.0,10.6,495242.0,0.0,,0.0,home improvements,Long Term,187506.0,8550.0,382.0,,1
4222,Rent,2393525.0,9 years,0.0,14.0,33.9,463936.0,0.0,22.0,0.0,buy a car,Short Term,79816.0,165471.0,25531.0,739.0,0
4223,Rent,918517.0,10+ years,0.0,3.0,19.8,81070.0,4.0,78.0,4.0,debt consolidation,Short Term,74888.0,2375.0,7501.0,713.0,0
4224,Rent,707085.0,1 year,0.0,10.0,14.8,451770.0,0.0,18.0,0.0,debt consolidation,Short Term,263318.0,232940.0,12963.0,738.0,0
4225,Home Mortgage,1728810.0,10+ years,0.0,11.0,25.5,2010646.0,0.0,,0.0,debt consolidation,Long Term,266904.0,835240.0,53881.0,733.0,0
4226,Home Mortgage,806531.0,10+ years,0.0,11.0,19.4,522566.0,0.0,34.0,0.0,debt consolidation,Short Term,177892.0,190456.0,7595.0,718.0,1
4227,Rent,474392.0,6 years,0.0,8.0,13.7,127446.0,0.0,,0.0,debt consolidation,Short Term,164230.0,106894.0,4190.0,645.0,0
4228,Own Home,1463342.0,10+ years,0.0,7.0,9.8,236302.0,0.0,,0.0,debt consolidation,Short Term,542322.0,102866.0,23901.0,650.0,0
4229,Home Mortgage,,2 years,1.0,18.0,23.2,322674.0,1.0,52.0,0.0,debt consolidation,Short Term,110528.0,78299.0,19797.0,,1
4230,Home Mortgage,1545688.0,,0.0,13.0,34.8,1090012.0,0.0,41.0,0.0,debt consolidation,Short Term,185526.0,192052.0,39157.0,743.0,0
4231,Own Home,1805950.0,10+ years,0.0,23.0,29.1,1233760.0,0.0,,0.0,debt consolidation,Long Term,435644.0,344166.0,27541.0,745.0,1
4232,Home Mortgage,678946.0,10+ years,0.0,8.0,14.5,301070.0,1.0,72.0,1.0,debt consolidation,Short Term,162140.0,84246.0,10863.0,714.0,0
4233,Rent,2268828.0,3 years,0.0,9.0,6.0,799502.0,0.0,,0.0,other,Short Term,214544.0,102201.0,16165.0,742.0,0
4234,Rent,1684179.0,10+ years,0.0,9.0,15.0,89936.0,1.0,,1.0,buy house,Short Term,60676.0,20121.0,22175.0,682.0,0
4235,Home Mortgage,,10+ years,0.0,9.0,15.0,298034.0,1.0,14.0,1.0,debt consolidation,Short Term,230164.0,93689.0,15293.0,,1
4236,Home Mortgage,,10+ years,0.0,6.0,20.7,116402.0,0.0,15.0,0.0,other,Short Term,44792.0,91694.0,9670.0,,0
4237,Home Mortgage,1904560.0,3 years,0.0,11.0,11.9,780956.0,0.0,,0.0,major purchase,Long Term,771848.0,127471.0,7809.0,646.0,0
4238,Home Mortgage,,7 years,0.0,15.0,31.6,680460.0,1.0,57.0,1.0,debt consolidation,Long Term,322982.0,88730.0,25720.0,,0
4239,Home Mortgage,,,0.0,9.0,19.2,504724.0,0.0,20.0,0.0,medical bills,Short Term,438900.0,377036.0,23037.0,,0
4240,Rent,164597.0,7 years,0.0,17.0,14.1,2086216.0,0.0,20.0,0.0,debt consolidation,Short Term,100892.0,129732.0,582.0,746.0,0
4241,Rent,681302.0,8 years,0.0,9.0,16.0,191532.0,0.0,,0.0,debt consolidation,Short Term,140866.0,104367.0,17657.0,744.0,0
4242,Rent,1233898.0,10+ years,1.0,6.0,21.9,182490.0,1.0,20.0,0.0,other,Short Term,99999999.0,87628.0,4391.0,727.0,0
4243,Own Home,,3 years,0.0,10.0,15.0,262526.0,0.0,,0.0,debt consolidation,Short Term,215072.0,185231.0,10039.0,,0
4244,Home Mortgage,953325.0,3 years,0.0,14.0,15.0,480502.0,1.0,59.0,1.0,debt consolidation,Short Term,220770.0,150233.0,15253.0,742.0,1
4245,Rent,385320.0,3 years,0.0,11.0,8.3,76010.0,0.0,48.0,0.0,take a trip,Short Term,22308.0,13053.0,4592.0,669.0,0
4246,Rent,366662.0,< 1 year,0.0,6.0,10.2,138578.0,0.0,,0.0,debt consolidation,Short Term,80454.0,86640.0,9533.0,706.0,0
4247,Rent,922070.0,4 years,0.0,21.0,14.0,132858.0,0.0,,0.0,debt consolidation,Long Term,313764.0,96273.0,8990.0,669.0,0
4248,Home Mortgage,1481943.0,10+ years,0.0,9.0,21.2,269368.0,0.0,47.0,0.0,debt consolidation,Short Term,347534.0,209855.0,29515.0,688.0,0
4249,Home Mortgage,1348582.0,4 years,0.0,12.0,11.4,248556.0,0.0,16.0,0.0,home improvements,Short Term,211288.0,167865.0,11115.0,736.0,0
4250,Home Mortgage,,10+ years,0.0,16.0,15.0,693880.0,0.0,5.0,0.0,other,Short Term,238854.0,242706.0,19724.0,,1
4251,Own Home,424897.0,,0.0,8.0,22.3,989274.0,0.0,,0.0,debt consolidation,Short Term,235928.0,331493.0,8427.0,743.0,0
4252,Home Mortgage,1456711.0,10+ years,0.0,8.0,14.3,414238.0,0.0,,0.0,debt consolidation,Long Term,350482.0,271529.0,13960.0,738.0,0
4253,Home Mortgage,838413.0,2 years,0.0,9.0,15.2,310794.0,0.0,76.0,0.0,debt consolidation,Short Term,340846.0,77311.0,7895.0,739.0,0
4254,Home Mortgage,3150998.0,7 years,0.0,31.0,16.3,1114256.0,0.0,,0.0,debt consolidation,Long Term,530684.0,792946.0,61182.0,733.0,1
4255,Home Mortgage,3818240.0,10+ years,0.0,13.0,24.5,1992298.0,0.0,43.0,0.0,debt consolidation,Short Term,368610.0,1675876.0,32773.0,746.0,0
4256,Rent,,4 years,0.0,4.0,12.5,0.0,0.0,41.0,0.0,other,Short Term,88946.0,19.0,21.0,,1
4257,Rent,928587.0,4 years,0.0,11.0,18.6,193028.0,0.0,67.0,0.0,debt consolidation,Short Term,184316.0,117363.0,18107.0,717.0,0
4258,Home Mortgage,1292988.0,2 years,0.0,9.0,18.5,833800.0,0.0,26.0,0.0,debt consolidation,Short Term,223454.0,604884.0,13576.0,737.0,1
4259,Home Mortgage,1148436.0,2 years,0.0,15.0,18.3,350438.0,1.0,13.0,1.0,debt consolidation,Short Term,315810.0,135280.0,28424.0,682.0,1
4260,Rent,,2 years,0.0,11.0,19.8,288728.0,0.0,,0.0,other,Short Term,156508.0,136401.0,5597.0,,0
4261,Rent,1845071.0,6 years,0.0,8.0,10.4,699380.0,0.0,46.0,0.0,debt consolidation,Long Term,787094.0,175769.0,10532.0,714.0,0
4262,Home Mortgage,1728126.0,7 years,0.0,17.0,37.1,1950674.0,0.0,9.0,0.0,debt consolidation,Short Term,222332.0,224067.0,23186.0,748.0,0
4263,Home Mortgage,1939748.0,1 year,0.0,14.0,32.5,484858.0,0.0,,0.0,debt consolidation,Short Term,352308.0,219412.0,30357.0,735.0,0
4264,Home Mortgage,,10+ years,0.0,9.0,17.7,837760.0,0.0,11.0,0.0,debt consolidation,Short Term,620554.0,545528.0,42197.0,,0
4265,Own Home,1508049.0,10+ years,0.0,10.0,13.7,238436.0,0.0,,0.0,debt consolidation,Short Term,184008.0,163704.0,13698.0,6570.0,1
4266,Rent,,,0.0,5.0,17.3,514360.0,0.0,,0.0,debt consolidation,Short Term,393360.0,431775.0,11007.0,,1
4267,Home Mortgage,1120050.0,8 years,0.0,7.0,19.7,382096.0,1.0,,1.0,debt consolidation,Short Term,259380.0,119453.0,9315.0,739.0,0
4268,Home Mortgage,1262417.0,9 years,0.0,10.0,16.0,781088.0,0.0,,0.0,debt consolidation,Short Term,449768.0,321100.0,13571.0,745.0,0
4269,Home Mortgage,1158088.0,10+ years,0.0,12.0,18.1,300520.0,0.0,5.0,0.0,debt consolidation,Long Term,346060.0,182191.0,20074.0,725.0,0
4270,Rent,774820.0,< 1 year,0.0,11.0,12.7,311652.0,0.0,,0.0,debt consolidation,Short Term,134574.0,187872.0,4378.0,7300.0,1
4271,Home Mortgage,5798040.0,< 1 year,2.0,7.0,18.5,622204.0,2.0,47.0,0.0,debt consolidation,Long Term,716100.0,438482.0,10002.0,7220.0,1
4272,Home Mortgage,1793676.0,3 years,0.0,8.0,20.5,486574.0,0.0,63.0,0.0,other,Short Term,223322.0,148333.0,18983.0,739.0,0
4273,Rent,,4 years,0.0,7.0,6.1,154396.0,0.0,13.0,0.0,debt consolidation,Short Term,250360.0,85747.0,7952.0,,1
4274,Rent,2257903.0,6 years,0.0,7.0,14.5,0.0,0.0,41.0,0.0,other,Short Term,178772.0,0.0,52496.0,722.0,0
4275,Rent,502740.0,10+ years,0.0,6.0,20.4,163460.0,0.0,,0.0,debt consolidation,Short Term,203742.0,105887.0,6661.0,707.0,0
4276,Own Home,3034528.0,10+ years,0.0,7.0,16.0,498762.0,0.0,,0.0,business loan,Long Term,768614.0,179626.0,2883.0,707.0,1
4277,Rent,,< 1 year,0.0,9.0,39.7,581680.0,0.0,,0.0,debt consolidation,Short Term,412302.0,341620.0,14315.0,,0
4278,Rent,1046463.0,6 years,0.0,16.0,13.0,652146.0,0.0,,0.0,debt consolidation,Short Term,308440.0,229235.0,30522.0,740.0,1
4279,Rent,1409325.0,10+ years,0.0,14.0,24.7,1085106.0,0.0,,0.0,debt consolidation,Short Term,99999999.0,763781.0,33119.0,714.0,0
4280,Home Mortgage,1123812.0,1 year,0.0,8.0,18.1,815210.0,0.0,,0.0,debt consolidation,Short Term,216876.0,253460.0,7848.0,730.0,0
4281,Home Mortgage,775124.0,10+ years,0.0,12.0,17.3,861212.0,0.0,23.0,0.0,debt consolidation,Long Term,401082.0,293797.0,8785.0,699.0,0
4282,Rent,855855.0,< 1 year,0.0,14.0,21.0,350042.0,0.0,,0.0,debt consolidation,Long Term,422818.0,262713.0,19043.0,645.0,0
4283,Home Mortgage,5165264.0,10+ years,0.0,13.0,37.6,380798.0,0.0,16.0,0.0,medical bills,Short Term,99999999.0,217379.0,61983.0,703.0,0
4284,Home Mortgage,,10+ years,0.0,15.0,21.1,709830.0,0.0,,0.0,debt consolidation,Long Term,778624.0,553584.0,43501.0,,0
4285,Own Home,,5 years,0.0,5.0,16.8,82830.0,0.0,68.0,0.0,debt consolidation,Short Term,313522.0,62738.0,15781.0,,1
